id,value
ANIMALIA,2.256
ANIMALIA.CHORDATA,2.393
ANIMALIA.CHORDATA.AMPHIBIA,2.244
ANIMALIA.CHORDATA.AMPHIBIA.ANURA,2.375
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE,2.222
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Alytes,1.75
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Discoglossus,2.6
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BOMBINATORIDAE,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BOMBINATORIDAE.Bombina,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Bufo,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Epidalea,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Pseudepidalea,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE.Hyla,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELOBATIDAE,2.667
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELOBATIDAE.Pelobates,2.667
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELODYTIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELODYTIDAE.Pelodytes,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE,2.095
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana,2.25
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA,2.059
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE,1.375
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Atylodes,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes,1.429
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PROTEIDAE,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PROTEIDAE.Proteus,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE,2.32
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Calotriton,0.5
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Chioglossa,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Euproctus,1.5
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lissotriton,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lyciasalamandra,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Mesotriton,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Pleurodeles,2.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandra,2.5
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandrina,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Triturus,2.667
ANIMALIA.CHORDATA.REPTILIA,2.321
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA,3.0
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA.AMPHISBAENIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA.AMPHISBAENIDAE.Blanus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA,2.315
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE.Laudakia,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE.Phrynocephalus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE,2.667
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE.Anguis,2.5
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE.Pseudopus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.BOIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.BOIDAE.Eryx,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE,2.808
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Coronella,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Dolichophis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Eirenis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Elaphe,2.667
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hemorrhois,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hierophis,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Macroprotodon,2.5
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Malpolon,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Natrix,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Platyceps,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Rhinechis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Telescopus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Zamenis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.GEKKONIDAE,2.875
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.GEKKONIDAE.Cyrtopodion,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.GEKKONIDAE.Euleptes,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.GEKKONIDAE.Hemidactylus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.GEKKONIDAE.Tarentola,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE,1.922
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Acanthodactylus,1.5
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Algyroides,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Anatololacerta,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Archaeolacerta,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Dalmatolacerta,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Darevskia,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Dinarolacerta,1.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Eremias,2.5
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Gallotia,1.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Hellenolacerta,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Iberolacerta,0.75
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Lacerta,2.833
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Ophisops,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Phoenicolacerta,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Podarcis,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Psammodromus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Teira,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Timon,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE.Zootoca,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.SCINCIDAE,2.667
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.SCINCIDAE.Ablepharus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.SCINCIDAE.Chalcides,2.429
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.SCINCIDAE.Eumeces,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.SCINCIDAE.Ophiomorus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.SCINCIDAE.Trachylepis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.TYPHLOPIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.TYPHLOPIDAE.Typhlops,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.VIPERIDAE,2.1
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.VIPERIDAE.Macrovipera,1.5
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.VIPERIDAE.Montivipera,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.VIPERIDAE.Vipera,2.143
ANIMALIA.CHORDATA.AVES,2.592
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES,2.333
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE,2.31
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Accipiter,2.5
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Aegypius,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Aquila,1.6
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Buteo,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Circaetus,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Circus,2.5
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Clanga,1.5
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Elanus,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Gypaetus,1.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Gyps,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Haliaeetus,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Hieraaetus,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Milvus,2.5
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Neophron,0.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE.Pernis,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.PANDIONIDAE,3.0
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.PANDIONIDAE.Pandion,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES,2.415
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE,2.415
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Anas,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Anser,2.5
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Aythya,2.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Branta,2.75
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Bucephala,2.5
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Clangula,1.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Cygnus,2.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Histrionicus,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Mareca,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Marmaronetta,1.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Melanitta,2.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Mergellus,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Mergus,2.5
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Netta,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Oxyura,0.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Polysticta,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Somateria,2.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Spatula,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE.Tadorna,3.0
ANIMALIA.CHORDATA.AVES.BUCEROTIFORMES,3.0
ANIMALIA.CHORDATA.AVES.BUCEROTIFORMES.UPUPIDAE,3.0
ANIMALIA.CHORDATA.AVES.BUCEROTIFORMES.UPUPIDAE.Upupa,3.0
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES,2.625
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES.APODIDAE,2.5
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES.APODIDAE.Apus,2.4
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES.APODIDAE.Tachymarptis,3.0
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES.CAPRIMULGIDAE,3.0
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES.CAPRIMULGIDAE.Caprimulgus,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES,2.413
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.ALCIDAE,1.429
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.ALCIDAE.Alca,2.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.ALCIDAE.Alle,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.ALCIDAE.Cepphus,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.ALCIDAE.Fratercula,0.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.ALCIDAE.Pinguinus,-3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.ALCIDAE.Uria,2.5
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.BURHINIDAE,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.BURHINIDAE.Burhinus,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.CHARADRIIDAE,2.167
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.CHARADRIIDAE.Charadrius,2.5
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.CHARADRIIDAE.Eudromias,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.CHARADRIIDAE.Pluvialis,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.CHARADRIIDAE.Vanellus,1.4
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.GLAREOLIDAE,2.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.GLAREOLIDAE.Cursorius,2.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.GLAREOLIDAE.Glareola,2.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.HAEMATOPODIDAE,-1.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.HAEMATOPODIDAE.Haematopus,-1.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE,2.724
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Chlidonias,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Gelochelidon,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Hydrocoloeus,2.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Hydroprogne,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Larus,2.857
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Pagophila,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Rhodostethia,0.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Rissa,1.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Sterna,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Sternula,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Thalasseus,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE.Xema,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.RECURVIROSTRIDAE,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.RECURVIROSTRIDAE.Himantopus,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.RECURVIROSTRIDAE.Recurvirostra,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.SCOLOPACIDAE,2.677
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.SCOLOPACIDAE.Actitis,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.SCOLOPACIDAE.Arenaria,1.8
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.SCOLOPACIDAE.Calidris,2.8
