id,value
PLANTAE,
PLANTAE.TRACHEOPHYTA,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.arvense,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nThis fern species is assessed as Least Concern as it is widespread, with stable or increasing populations throughout its European range and does not face any major threats. It is often invasive in disturbed sites and hence it is unlikely that this species will become threatened in the near future.', 'European regional assessment: Least Concern (LC)\nEU 27 regional assessment: Least Concern (LC)\n\n\nThis species is classed as Least Concern as it is widespread with stable populations throughout its European range and does not face any major threats.', 'European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC) #This species is classed as Least Concern as it is widespread with stable populations throughout its European range and does not face any major threats.', 'European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC)Trifolium arvense due to its widespread distribution and no major threats, is regionally classified in Europe as Least Concern.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.fluviatile,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nThis fern species is listed as Least Concern as it is widespread and does not face any major threats. Although some subpopulations may be affected by the drainage of wetlands, the population trend remains stable overall.', 'European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC) #This species is classed as Least Concern as it is widespread with stable populations and does not face any major threats.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.hyemale,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nThis fern species is classified as Least Concern due to its widespread distribution, stable population trend and absence of major threats.', 'European regional assessment: Least Concern (LC)\nEU 27 regional assessment: Least Concern (LC)\n\n\nThis species is classified as Least Concern due to its widespread distribution, stable populations and no major threats.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.palustre,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nThis common fern species is classed as Least Concern as it is widespread with stable subpopulations that are resilient and do not face any major threats.', 'European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC) #This species is classed as Least Concern as it is widespread with stable populations and does not face any major threats.', 'The species is only known from one site in Italy, where the area of occupancy and extent of occurrence are tiny, any remnant populations are likely to be very small and severely fragmented. The species habitat is declining due to groundwater extraction and changes in native species dynamics. It is therefore assessed as Critically Endangered.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.pratense,"['European regional assessment: Least Concern (LC). EU 27 regional assessment: Least Concern (LC). After a decline in the 1980s and 1990s B. pratense is showing an increase within its western European range since the 1990s. The species is fairly common and widespread in some areas with no known major threats. It is therefore assessed as Least Concern.', 'European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nEven though less common than other horsetail species, this species is widespread, does not face any major threats and the population is stable and resilient. It is therefore listed as Least Concern.', 'European regional assessment: Least Concern (LC)\nEU 27 regional assessment: Least Concern (LC)\n\n\nTrifolium pratense is a very common species, with a widespread distribution and with no known threats, therefore it is regionally classified in Europe as Least Concern.', 'European regional assessment: Least Concern (LC)EU 27 regional   assessment: Least Concern (LC)Phleum pratense is widely distributed in grasslands in northern, central, east, southeastern and southwestern Europe. As this species is widespread it is regionally assessed as Least Concern.', 'European regional assessment: Least Concern (LC)    EU 27 regional assessment: Least Concern (LC)Trifolium pratense is a very common species, with a widespread distribution and with no known threats, therefore it is regionally classified in Europe as Least Concern.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.ramosissimum,['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nThis is a widespread and locally common fern species with a stable or increasing population trend and no major threats. It is therefore listed as Least Concern.']
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.scirpoides,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nThis fern species is widespread and while it is possibly declining in parts of its range, it is not declining fast enough to qualify for any of the threatened Categories. Therefore it is assessed as Least Concern.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.sylvaticum,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nAs this is a widespread and locally common fern species with resilient subpopulations and stable population trend, it is listed as Least Concern.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.telmateia,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nAlthough this fern is locally threatened in northern Europe, it has an overall widespread distribution, an stable population trend and an absence of major threats. It is therefore assessed as Least Concern.', 'European regional assessment: Least Concern (LC)\nEU 27 regional assessment: Least Concern (LC)\n\n\nAlthough it is locally threatened, this species is classified as Least Concern due to its widespread distribution, overall stable populations and no major threats.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.variegatum,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nThis fern species is listed as Least Concern as it is widespread with an overall stable population trend and an overall low risk of extinction in Europe. However, E. variegatum is threatened in several national Red Lists, and research into the causes of those declines and adequate measures to prevent reduction of these populations are needed.', 'European regional assessment: Least Concern (LC)\nEU 27 regional assessment: Least Concern (LC)\n\n\nThis species is classed as Least Concern as it is widespread with stable populations in parts of its range and therefore the risk of the species going completely extinct in Europe is quite low. However, it is concerning that the species is classed as threatened on various national red lists and research into the causes of those declines as well as adequate measures to prevent this are needed.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA,
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES,
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE,
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes,
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.azorica,"['Isoetes azorica is an aquatic quillwort restricted to the Azores and is suspected to have declined more than 30% for a three generation period (around 30 years), considering 20 years in the past and 10 in the future. It is threatened by invasive species, pollution and eutrophication from cattle, and general degradation of its habitat. In addition, there are fewer than 10,000 mature individuals in total, and less than 1,000 in each subpopulation. It is therefore listed here as Vulnerable.', 'The species is listed as Critically Endangered as there are fewer than 100 individuals in total, with an even smaller number of individuals (<50) per subpopulation. In addition, the species has a small area of occupancy (AOO), it is experiencing a continuing decline on its habitat and number of mature individuals and its population is considered to be severely fragmented, since its subpopulations are small and isolated from each other. Its reproductive success is low and it is affected by the loss of forest on the islands by clearance, grazing and illegal collection. Protection of old growth natural forests and possible planting of native species, together with monitoring of the population and habitats trend, are recommended.', 'European regional assessment: Vulnerable (VU) C2a(i); D2EU 27 regional assessment: Vulnerable (VU) C2a(i); D2 #This species is classed as Vulnerable because it has an estimated range (here interpreted as area of occupancy) of 13 km². The maximum estimated population is under 10,000 individuals with less than 1,000 in each of the 11 subpopulations. Several threats, especially invasive species, pollution and eutrophication have led to population declines and are continuing to do so if no appropriate conservation measures are taken.', 'Marsilea azorica is present in one single population in the Azores in an area of about 1 km². The population as well as its habitat are stable at the moment but there are potential future threats ranging from changes in the hydrological regime to grazing and encroachment of grasses. The species is therefore classed as Vulnerable but can become very quickly Critically Endangered should a continuing decline in the populations or of its site take place.', 'Myosotis azorica is endemic to the Azores where the populations are small and have a total of 500-600 individuals. It is therefore listed as Vulnerable.', 'This endemic species is relatively widespread on São Miguel island, Azores. There is no major threat, as it is a quite adaptable species. It is therefore assessed as Least Concern (LC).', 'This species is relatively uncommon. It # has adapted to secondary forests and is present on almost all islands in the Azores. There are no major threats thus it is considered as Least Concern (LC).']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.boryana,"['Isoetes boryana is an aquatic quillwort listed as Endangered because it has a restricted distribution with an estimated extent of occurrence (EOO) of 854-1,412 km² and an estimated area of occupancy (AOO) of 56 km². Based on the impact of eutrophication and water management, the species occurs at three locations and there is a continuing decline in the AOO, habitat quality, number of mature individuals, subpopulations and locations, since the species disappeared from two ponds. Proper management and protection of the species is needed in order to improve the status of this species.', 'Isoetes boryana is listed as Endangered. Its restricted extent of occurrence, 854 km², presence confirmed in only three locations and the loss of several localities, as well as the decrease in water quality qualify this French endemic for an Endangered category.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.creussensis,"['Global and European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nThis is an aquatic species with a restricted distribution, but it is known from at least 16 oligotrophic lakes, it is locally abundant and faces no immediate threats, since agricultural run-off and pollution are unlikely in these sites. It is therefore assessed as Least Concern. However, this species was only discovered in 2010 and thus new information could possibly change its threat status in the future.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.delilei,"['European regional assessment: Near Threatened (NT)\nEU 28 regional assessment: Near Threatened (NT)\n\nThis aquatic species has a small area of occupancy (AOO = 1,412 km²) and is experiencing a continuing decline in the quality of its habitat and in the number of mature individuals as a result of land abandonment. Its fragile habitat is under much pressure from agricultural and infrastructure development. Therefore it is assessed as Near Threatened as it is close to qualify as threatened under criterion B. Research on habitat and threats are needed and a recovery plan is recommended.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.durieui,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nEven though this aquatic species has a small estimated area of occupancy (AOO) of under 900 km², the species is locally abundant with a stable population trend. It is therefore listed as Least Concern.', 'In Europe, this species lives only in a restricted area in South Italy (coastal area of Basilicata, and Puglia), where it occurs in # nine isolated localities living on sand dunes. The European occurrences are of conservation interest under assumptions of their origin. As an isolated relict of migrations in geological times, it would indicate the existence of former land bridges. If considered introduced by human, it would be a remarkable evidence of ancient trade. Due to the fragmentation of its distribution area, it is assessed as Near Threatened (NT) at the European level and at the level of the 27 member States of the European Union.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.echinospora,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nEven though it is threatened by water pollutionthroughout its range, this aquatic species occurs in a large number of lakes that are not polluted and as such the species is unlikely to disappear. It is therefore listed as Least Concern, but it should be noted that this is dependent on maintenance of clear lake water and water management efforts.', 'European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC) #This species is classed as Least Concern as it is widespread with stable populations throughout most of its European range and does not face any major threats.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.fluitans,"['Isoetes fluitans is an aquatic quillwort, listed as Endangered in the Spanish Red List. The species has a very small area of occupancy (AOO) of 12 km², although when calculated with GBIF data (which includes historical sites where this species no longer occurs, such as in the wet forests along the Galician coast) the AOO is slightly larger (68 km²). There are fewer than five locations and continued population declines as a result of pollution and eutrophication that are affecting all subpopulations and cause a decline in the extent and quality of the habitat.', 'Isoetes fluitans is listed as Endangered as it has a very small area of occupancy (AOO) of 12 km², the distribution is severely fragmented, and there are continuing declines as a result of pollution and eutrophication which are affecting all subpopulations.', 'European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC) #This species is classed as Least Concern as, outside Scandinavia, it is widespread with stable populations and does not face any major threats.', 'European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC) #This species is classed as Least Concern as it is widespread with stable populations and does not face any major threats.', 'European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC) #This species is classed as Least Concern as it is widespread with stable populations and does not face any major threats.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.haussknechtii,"['Isoetes haussknechtii is an amphibious species with a small area of occupancy (AOO) of 16 km², with a severely fragmented population and occurrence in less than five locations. Its habitat is declining throughout its range, but since it has been only been recently recognised as a separate species, its population trend is not yet known. Further research on the habitat and local abundance of this species is greatly needed.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.histrix,"['European regional assessment: Least Concern (LC)\nEU 28 regional assessment: Least Concern (LC)\n\nAlthough this aquatic species is locally rare and threatened, in the Mediterranean region it can be fairly common in some places and the threats it is facing are unlikely to cause a dramatic decline in the near future. It should be noted that this species is often confused with other, rarer species ofIsoetes. Further taxonomic studies are needed. It is listed as Least Concern because of its widespread distribution, but some subpopulations, particularly at the margins of its distribution area, should be protected and monitored.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.iapygia,"['This is an aquatic species with a restricted distribution in Italy. Its extent of occurrence (EOO) is less than 500 km² and its area of occupancy (AOO) is less than 50 km², and it occurs in a threatened habitat. In 2010, subpopulations were still found in several localities and there are a total of nine known subpopulations. Based on the impact of anthropogenic alteration of the habitat there are nine locations and there is an  inferred continuing decline in the suitable habitat. The species is therefore assessed as Vulnerable.']"
