id,value
PLANTAE,2.132
PLANTAE.TRACHEOPHYTA,2.138
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.arvense,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.fluviatile,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.hyemale,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.palustre,1.667
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.pratense,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.ramosissimum,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.scirpoides,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.sylvaticum,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.telmateia,3.0
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.variegatum,3.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA,1.222
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES,1.222
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE,1.278
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes,1.278
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.azorica,1.286
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.boryana,0.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.creussensis,3.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.delilei,2.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.durieui,2.5
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.echinospora,3.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.fluitans,1.8
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.haussknechtii,0.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.histrix,3.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.iapygia,1.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.lacustris,1.25
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.longissima,2.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.malinverniana,-1.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.phrygia,2.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.sabatina,-1.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.tenuissima,0.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.tiguliana,3.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.todaroana,-1.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOETACEAE,1.111
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOETACEAE.Isoetes,1.111
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOETACEAE.Isoetes.azorica,1.286
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOETACEAE.Isoetes.boryana,0.0
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOETACEAE.Isoetes.echinospora,3.0
