id,value
PLANTAE,
PLANTAE.TRACHEOPHYTA,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum,
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.arvense,"['There are no known past, ongoing or future threats to this species. It is very common and once established it is nearly impossible to eradicate. It benefits from anthropogenic disturbances.', 'There are no known past, ongoing or future threats to this species.', 'There are no known past, ongoing or future threats to this species.', 'There appears to be no major threats and this species is  found in several habitats which are not threatened  within its  range.In the UK, according to Preston et al. (2002) there has been a widespread decline of this species in the southeast of England since 1950.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.fluviatile,"['In spite of its abundance, locally the species has declined over the last 100 years due to the drainage of wet areas and filling in of ponds (Page 1997). On a European scale there appear to be no threats, as it readily colonises new sites like human-made ditches, ponds and canals.', 'There are no known past, ongoing or future threats to this species.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.hyemale,"['There are no current threats to this species. It was previously threatened by land drainage, grazing and trampling of riverbanks by livestock in the United Kingdom (Botanical Society of the British Isles and the Biological Records Centre 2012).', 'There are no threats to this species. It was previously threatened by land drainage, grazing and trampling of riverbanks by livestock in the United Kingdom (Online Atlas of the British and Irish Flora 2012).']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.palustre,"['There are no known past, ongoing or future threats to this species. Plants produce massive, deep rhizomes and tubers, making the species considerably resilient due to its clonal spread and vegetative persistence.', 'There are no known past, ongoing or future threats to this species.', 'The species is threatened by groundwater extraction, changes in the native species dynamics and intrinsic factors such as the species low density.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.pratense,"['In the 1970s and 1980s the species declined in large parts of western Europe due to poor water management and nitrification. The impact of these threats is declining. Another threat to the species is the introduction of grass carps which often leads to the destruction of the aquatic and bankside vegetation. In South Europe the species is likely to be threatened by climate change and locally by poor water management.', 'There are no known threats to this species, although it is scarce in many parts of its distribution and may be threatened there by habitat loss due to logging or urbanisation. The species is resilient to disturbance to some extent.', 'There appears to be be no major threats. This species is very common and found in many different habitats so it is not currently threatened.', 'The threats to this species are unknown.', 'There appears to be be no major threats. This species is very common and found in many different habitats so it is not currently threatened.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.ramosissimum,"['There are no major threats to this species. It is very widespread and often common in partially disturbed situations. It may suffer under some climate change predictions, as the species is frost-sensitive and repeated cold spells in unusual areas may prevent it from reproducing. However, a warmer climate may allow this species to move further north in Europe, colonising areas where it previously did not occur.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.scirpoides,"['The threats to the species are unknown. In Russia and Scandinavia, the species may be affected by forestry management (Y. Ivanenko pers. comm. 2016). The species is sensitive to draining of the soil (M. Christenhusz pers. comm. 2016).']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.sylvaticum,"['Some marginal subpopulations may be threatened as a result of the loss of forests and due to soil drainage, but this does not impact the overall fitness of the species.']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.telmateia,"['This species can be locally threatened by land drainage or water pollution. In Sweden, some local subpopulations have become extinct due to land drainage and subsequent overgrowth (Mattiasson 2000).\n ', 'This species can be threatened with land drainage. In Sweden some local populations have become extinct due to land drainage and subsequent overgrowth (Mattiasson 2000).']"
PLANTAE.TRACHEOPHYTA.EQUISETOPSIDA.EQUISETALES.EQUISETACEAE.Equisetum.variegatum,"['This species is impacted by habitat disturbance through tourism and recreation areas, drainage and water pollution. The increase of livestock has impacted montane populations and drainage and sand dune development affect lowland subpopulations (Botanical Society of the British Isles and the Biological Records Centre 2012).', 'This species is impacted by habitat disturbance. Increase of livestock has impacted montane populations, and drainage and sand dune development affect lowland populations (Online Atlas of the British and Irish Flora 2012).']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA,
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES,
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE,
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes,
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.azorica,"['The main and increasing threats to this plant species come from the spread of invasive macrophytes, pollution and eutrophication by cattle farming (Pietsch 1994). The subpopulation at Lagoa do Negro on Terceira has been dramatically reduced (<70%) in less than ten years, by the arrival and spread of Sagittaria subulata (F. Rumsey, pers. obs. 2010). One of the three subpopulations on Flores has recently (2010) suffered considerable mortality as a consequence of pollution leaching from a nearby rubbish tip (F. Rumsey pers. comm. 2010). The subpopulation in the Caldeirao Lake at Corvo (a nature reserve) has almost disappeared as a consequence of eutrophication and cattle grazing in the crater (all year ca 200 cattle individuals are allowed to roam freely in the reserve and rely on the lake as their only water source). The common practice to pump water out of the lakes in the summer to fill water tanks for cattle is a threat especially on Pico and Flores, where this practice leads to dramatic reduction of the water levels (e.g., in 2015). Further threats to the species are grazing, leisure fishing, the construction of paths, canalisation, modifying structures of inland water courses and other human induced changes in hydraulic conditions (Commission of the European Communities 2009).', 'Illegal collection poses a threat to the species. The loss of forest on the islands by clearance and invasive tree species (especially Cryptomeria japonica) result in a shrinking of the natural vegetation where this species occurs. Its habitat is also decreasing due to grazing. Since the only subpopulations are situated on the slopes of volcanoes, a volcanic eruption may also be a threat.', 'The main and increasing threats to the plant come from the spread of invasive macrophytes, pollution and eutrophication. The population at Lagoa do Negro, Terceira has been dramatically reduced (<70%) in under ten years by the arrival and spread of Sagittaria subulata (F. Rumsey pers. obs. 2010). One of the three populations on Flores has suffered considerable mortality very recently (2010) as a consequence of pollution leaching from a nearby tip (F. Rumsey pers. comm. 2010).Further threats to the species are grazing; leisure fishing; the construction of paths and cycling tracks; canalisation, modifying structures of inland water courses and other human induced changes in hydraulic conditions; and introduction of disease   (Commission of the European Communities 2009).', 'The species is currently found at one site only where potential threats include grazing, trampling, agriculture and forestry activities, the construction of communication networks, drainage or other changes in hydraulic conditions and it is very vulnerable to natural catastrophes or species invasion (Commission of the European Communities 2009).   The site has recently been fenced to protect from casual damage. However, this may have a negative effect as coarse grasses present at one end of the site may now be spreading and could replace the plant (F. Rumsey pers. comm. 2010).', 'The main threats are posed by agriculture and forestry activities, modifying structures of inland water courses, erosion, and natural catastrophes (Commission of the European Communities 2009).', 'This species is widespread on São Miguel, and has quickly adapted to forest of introduced species (e.g. Cryptomeria), therefore no threats are foreseen.', 'This species is relatively uncommon; however, because it has adapted to secondary forests and is present on almost all islands, no threats are foreseen.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.boryana,"['The main threats to this species are related to unfavourable water management (including drainage, pollution and disturbances), eutrophication due to agriculture and water recreation. Based on the impact of euthrophication and water management the species occurs at three locations.', 'The main threats are related to unfavourable water management, eutrophication due to agriculture (pollution), and water sports.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.creussensis,"['The threats to this species are unknown, and there will be few as long as the water quality of the lakes remains good. Eutrophication will affect this species, but this is not currently a concern in the region.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.delilei,"['Large construction of infrastructure (e.g. roadwork), the drainage of pools or their infilling, the extraction of sediment or conversion to permanent water bodies constitute serious threats for the subpopulations of this species. In addition, the quality of the habitat of the species is deteriorating as a result of land abandonment (mainly due to the reduction of grazing activities), which increases the sediments, causing colonisation by competitive perennial plants of a large size and the overshading of the plants. It is a heliophile species that is sensitive to competition.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.durieui,"['Threats have not been studied for the habitats of this species, but Mediterranean vernal pools are among the most threatened habitats in Europe.', 'The major threat to this species is any alteration of its habitat like increasing tourist exploitation of the sandy beach areas and destruction of the sand dune vegetation.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.echinospora,"['The main threats to this species are pollution and eutrophication of water bodies, draining of wetlands and overgrowing with vegetation (Lilleleht 1998), mainly in the central part of its distribution. It can also be affected by the outgrow of invasive aquatic species, which shut out the light and may threaten this species.', 'There are no known past, ongoing or future threats to this species.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.fluitans,"['Isoetes fluitans is threatened in its entire distribution area by uncontrolled pollution and eutrophication (chemicals and fertilisers drained from fields). Moreover, touristic development along rivers, which leads to create fluvial beaches or the cleaning of river beds, has eliminated or affected several subpopulations. On the basis of these threats, a total of 3-4 locations is estimated, since four or five have disappeared from the Galician coast and the subpopulations along the Miño river form a single location.', 'Isoetes fluitans is threatened in the totality of its distribution area by uncontrolled pollution and eutrophication (chemicals drained from fields). Moreover, the tourism development on rivers, which leads to create fluvial beaches or to clean the river beds, has eliminated or affected several subpopulations.The subpopulations of the high basin of Miño River are partly included in the planned Spanish Natura 2000 network.', 'There are no known past, ongoing or future threats to this species.', 'There are no known past, ongoing or future threats to this species.', 'There are no known past, ongoing or future threats to this species.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.haussknechtii,"['Agro-pastoral exploitation or changes in agricultural practices may pose a threat to the species, leading to habitat destruction. Based on these threats, the species occurs at less than five locations. ']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.histrix,"['Urbanization, construction projects (buildings, golf fields, etc.), degradation of the habitat as a result of the expansion of competitive perennial plants, drainage and infilling of ponds by excavation and agricultural practices constitute potential threats for the habitat of this species. Many sites are vulnerable to development. Trampling of river bank vegetation could pose an additional threat (Wigginton 1999).']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.iapygia,"['The threats to the species are unknown, although it is likely to be threatened by pollution and human activities, like other Isoetes species. Its habitat, Mediterranean temporary ponds, are among the most threatened habitats in Europe. Based on the impact of anthropogenic alteration of the habitat, nine locations are calculated.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.lacustris,"['It prefers clean water, but threats are localised, mainly losses due to habitat destruction and water pollution (domestic and agricultural sources) and are not likely to impact the species on its whole range.', 'The water quality is changing due to pollution (sedimentation, agricultural run-off) and habitat degradation. In relation with this eutrophication, enhanced macrophyte and broad reed belt growth at the high human populated northern and southern shallow bays are decreasing suitable habitats. However, as this is a sublittoral species it is thought that it is largely unaffected.', 'The threats to this species are mainly resulting from habitat degradation due to eutrophication of Lake Skadar. The littoral zone is subject to lake level changes and habitat degradation.', 'Habitat loss, due to abrupt water level drop (of several meters), related to excessive water abstraction for agriculture coupled with extremely dry summers, is threatening this littoral species. Pollution related to intensive agriculture practice and settlements in the neighbouring area, is responsible for the eutrophication of the lake. In relation with this, the biofilm (algae) present on the hard substrate is changing, diminishing habitat and food availability for this small gastropod. Herbicides might also impact diatomae communities, which are the major food source for this snail. Introduction of alien fish species for fishing purposes has contributed to profound modification of the natural ecosystem of the lake.', 'This species is estimated to have lost 85–99% of its habitat during the last 50 years due to wetland drainage. The main current threat is further habitat loss by urbanization around Pamvotida Lake and by land conversion to agriculture in Paramythia Lake, even though both sites belong to the Natura 2000 network of protected areas.', 'Plants are sensitive to eutrophication of the water bodies they grow in, from where they soon become out-competed by other species. Eutrophication is a problem in central Europe and Russia, but not in Scandinavia where it is locally abundant.', 'There are no known past, ongoing or future threats to this species.', 'There are no known past, ongoing or future threats to this species.']"
PLANTAE.TRACHEOPHYTA.ISOETOPSIDA.ISOETALES.ISOËTACEAE.Isoëtes.longissima,"['This species is threatened by natural and anthropogenic habitat conversion, usually by human mismanagement, recreation, water pollution and eutrophication by agricultural run-off.']"
