id,value
ANIMALIA,2.256
ANIMALIA.CHORDATA,2.393
ANIMALIA.CHORDATA.AMPHIBIA,2.244
ANIMALIA.CHORDATA.AMPHIBIA.ANURA,2.375
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE,2.222
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BOMBINATORIDAE,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELOBATIDAE,2.667
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELODYTIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE,2.095
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA,2.059
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE,1.375
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PROTEIDAE,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE,2.32
ANIMALIA.CHORDATA.REPTILIA,2.321
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA,3.0
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA.AMPHISBAENIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA,2.315
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE,2.667
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.BOIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE,2.808
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.GEKKONIDAE,2.875
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.LACERTIDAE,1.922
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.SCINCIDAE,2.667
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.TYPHLOPIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.VIPERIDAE,2.1
ANIMALIA.CHORDATA.AVES,2.592
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES,2.333
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.ACCIPITRIDAE,2.31
ANIMALIA.CHORDATA.AVES.ACCIPITRIFORMES.PANDIONIDAE,3.0
ANIMALIA.CHORDATA.AVES.ANSERIFORMES,2.415
ANIMALIA.CHORDATA.AVES.ANSERIFORMES.ANATIDAE,2.415
ANIMALIA.CHORDATA.AVES.BUCEROTIFORMES,3.0
ANIMALIA.CHORDATA.AVES.BUCEROTIFORMES.UPUPIDAE,3.0
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES,2.625
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES.APODIDAE,2.5
ANIMALIA.CHORDATA.AVES.CAPRIMULGIFORMES.CAPRIMULGIDAE,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES,2.413
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.ALCIDAE,1.429
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.BURHINIDAE,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.CHARADRIIDAE,2.167
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.GLAREOLIDAE,2.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.HAEMATOPODIDAE,-1.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.LARIDAE,2.724
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.RECURVIROSTRIDAE,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.SCOLOPACIDAE,2.677
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.STERCORARIIDAE,3.0
ANIMALIA.CHORDATA.AVES.CHARADRIIFORMES.TURNICIDAE,-1.0
ANIMALIA.CHORDATA.AVES.CICONIIFORMES,3.0
ANIMALIA.CHORDATA.AVES.CICONIIFORMES.CICONIIDAE,3.0
ANIMALIA.CHORDATA.AVES.COLUMBIFORMES,2.667
ANIMALIA.CHORDATA.AVES.COLUMBIFORMES.COLUMBIDAE,2.667
ANIMALIA.CHORDATA.AVES.CORACIIFORMES,1.833
ANIMALIA.CHORDATA.AVES.CORACIIFORMES.ALCEDINIDAE,0.667
ANIMALIA.CHORDATA.AVES.CORACIIFORMES.CORACIIDAE,3.0
ANIMALIA.CHORDATA.AVES.CORACIIFORMES.MEROPIDAE,3.0
ANIMALIA.CHORDATA.AVES.CUCULIFORMES,3.0
ANIMALIA.CHORDATA.AVES.CUCULIFORMES.CUCULIDAE,3.0
ANIMALIA.CHORDATA.AVES.FALCONIFORMES,2.4
ANIMALIA.CHORDATA.AVES.FALCONIFORMES.FALCONIDAE,2.4
ANIMALIA.CHORDATA.AVES.GALLIFORMES,2.706
ANIMALIA.CHORDATA.AVES.GALLIFORMES.PHASIANIDAE,2.706
ANIMALIA.CHORDATA.AVES.GAVIIFORMES,2.0
ANIMALIA.CHORDATA.AVES.GAVIIFORMES.GAVIIDAE,2.0
ANIMALIA.CHORDATA.AVES.GRUIFORMES,2.636
ANIMALIA.CHORDATA.AVES.GRUIFORMES.GRUIDAE,3.0
ANIMALIA.CHORDATA.AVES.GRUIFORMES.RALLIDAE,2.556
ANIMALIA.CHORDATA.AVES.OTIDIFORMES,1.25
ANIMALIA.CHORDATA.AVES.OTIDIFORMES.OTIDIDAE,1.25
ANIMALIA.CHORDATA.AVES.PASSERIFORMES,2.795
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.AEGITHALIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.ALAUDIDAE,2.231
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.BOMBYCILLIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.CERTHIIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.CINCLIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.CISTICOLIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.CORVIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.EMBERIZIDAE,2.444
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.FRINGILLIDAE,2.857
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.HIRUNDINIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.LANIIDAE,2.6
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.MOTACILLIDAE,2.769
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.MUSCICAPIDAE,2.774
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.ORIOLIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.PARIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.PASSERIDAE,2.75
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.PRUNELLIDAE,2.8
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.PYCNONOTIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.REGULIIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.REMIZIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.SITTIDAE,2.667
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.STURNIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.SYLVIIDAE,2.933
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.TIMALIIDAE,2.5
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.TROGLODYTIDAE,3.0
ANIMALIA.CHORDATA.AVES.PASSERIFORMES.TURDIDAE,2.875
ANIMALIA.CHORDATA.AVES.PELECANIFORMES,3.0
ANIMALIA.CHORDATA.AVES.PELECANIFORMES.ARDEIDAE,3.0
ANIMALIA.CHORDATA.AVES.PELECANIFORMES.PELECANIDAE,3.0
ANIMALIA.CHORDATA.AVES.PELECANIFORMES.THRESKIORNITHIDAE,3.0
ANIMALIA.CHORDATA.AVES.PHOENICOPTERIFORMES,3.0
ANIMALIA.CHORDATA.AVES.PHOENICOPTERIFORMES.PHOENICOPTERIDAE,3.0
ANIMALIA.CHORDATA.AVES.PICIFORMES,2.909
ANIMALIA.CHORDATA.AVES.PICIFORMES.PICIDAE,2.909
ANIMALIA.CHORDATA.AVES.PODICIPEDIFORMES,2.8
ANIMALIA.CHORDATA.AVES.PODICIPEDIFORMES.PODICIPEDIDAE,2.8
ANIMALIA.CHORDATA.AVES.PROCELLARIIFORMES,1.8
ANIMALIA.CHORDATA.AVES.PROCELLARIIFORMES.HYDROBATIDAE,2.5
ANIMALIA.CHORDATA.AVES.PROCELLARIIFORMES.OCEANITIDAE,0.0
ANIMALIA.CHORDATA.AVES.PROCELLARIIFORMES.PROCELLARIIDAE,1.7
ANIMALIA.CHORDATA.AVES.PTEROCLIFORMES,1.0
ANIMALIA.CHORDATA.AVES.PTEROCLIFORMES.PTEROCLIDAE,1.0
ANIMALIA.CHORDATA.AVES.STRIGIFORMES,2.533
ANIMALIA.CHORDATA.AVES.STRIGIFORMES.STRIGIDAE,2.5
ANIMALIA.CHORDATA.AVES.STRIGIFORMES.TYTONIDAE,3.0
ANIMALIA.CHORDATA.AVES.SULIFORMES,3.0
ANIMALIA.CHORDATA.AVES.SULIFORMES.PHALACROCORACIDAE,3.0
ANIMALIA.CHORDATA.AVES.SULIFORMES.SULIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII,2.389
ANIMALIA.CHORDATA.ACTINOPTERYGII.ACIPENSERIFORMES,-0.75
ANIMALIA.CHORDATA.ACTINOPTERYGII.ACIPENSERIFORMES.ACIPENSERIDAE,-0.75
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES,2.875
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.ANGUILLIDAE,-1.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.CHLOPSIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.CONGRIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.DERICHTHYIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.MURAENIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.NEMICHTHYIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.NETTASTOMATIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.OPHICHTHIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.SERRIVOMERIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ANGUILLIFORMES.SYNAPHOBRANCHIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ATHERINIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ATHERINIFORMES.ATHERINIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.CLUPEIFORMES,2.043
ANIMALIA.CHORDATA.ACTINOPTERYGII.CLUPEIFORMES.CLUPEIDAE,2.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.CLUPEIFORMES.ENGRAULIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.CYPRINIFORMES,1.695
ANIMALIA.CHORDATA.ACTINOPTERYGII.CYPRINIFORMES.BALITORIDAE,2.25
ANIMALIA.CHORDATA.ACTINOPTERYGII.CYPRINIFORMES.COBITIDAE,1.571
ANIMALIA.CHORDATA.ACTINOPTERYGII.CYPRINIFORMES.CYPRINIDAE,1.694
ANIMALIA.CHORDATA.ACTINOPTERYGII.CYPRINODONTIFORMES,0.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.CYPRINODONTIFORMES.CYPRINODONTIDAE,0.5
ANIMALIA.CHORDATA.ACTINOPTERYGII.CYPRINODONTIFORMES.VALENCIIDAE,-1.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ESOCIFORMES,2.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ESOCIFORMES.ESOCIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.ESOCIFORMES.UMBRIDAE,1.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.GADIFORMES,2.905
ANIMALIA.CHORDATA.ACTINOPTERYGII.GADIFORMES.LOTIDAE,2.846
ANIMALIA.CHORDATA.ACTINOPTERYGII.GADIFORMES.BREGMACEROTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.GADIFORMES.GADIDAE,2.929
ANIMALIA.CHORDATA.ACTINOPTERYGII.GADIFORMES.MACROURIDAE,2.864
ANIMALIA.CHORDATA.ACTINOPTERYGII.GADIFORMES.MELANONIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.GADIFORMES.MERLUCCIIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.GADIFORMES.MORIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.GASTEROSTEIFORMES,1.889
ANIMALIA.CHORDATA.ACTINOPTERYGII.GASTEROSTEIFORMES.GASTEROSTEIDAE,1.889
ANIMALIA.CHORDATA.ACTINOPTERYGII.MUGILIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.MUGILIFORMES.MUGILIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES.OSMERIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES.ALEPOCEPHALIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES.ARGENTINIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES.BATHYLAGIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES.LEPTOCHILICHTHYIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES.MICROSTOMATIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES.OPISTHOPROCTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.OSMERIFORMES.PLATYTROCTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES,2.771
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.BLENNIIDAE,2.84
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.GOBIIDAE,2.686
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.MORONIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.PERCIDAE,2.071
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.AMMODYTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.ANARHICHADIDAE,1.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.APOGONIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.BRAMIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CALLANTHIIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CALLIONYMIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CAPROIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CARANGIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CENTRACANTHIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CENTROLOPHIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CEPOLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CHIASMODONTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CLINIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.CORYPHAENIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.DRACONETTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.ECHENEIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.EPIGONIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.EPINEPHELIDAE,1.75
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.GEMPYLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.HAEMULIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.HOWELLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.ISTIOPHORIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.LABRIDAE,2.84
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.LOBOTIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.LUVARIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.MULLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.NOMEIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.PHOLIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.POLYPRIONIDAE,2.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.POMACENTRIDAE,3.0
ANIMALIA.CHORDATA.ACTINOPTERYGII.PERCIFORMES.POMATOMIDAE,2.0
