id,value
ANIMALIA,2.256
ANIMALIA.CHORDATA,2.393
ANIMALIA.CHORDATA.AMPHIBIA,2.244
ANIMALIA.CHORDATA.AMPHIBIA.ANURA,2.375
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE,2.222
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Alytes,1.75
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Alytes.cisternasii,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Alytes.dickhilleni,1.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Alytes.muletensis,1.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Alytes.obstetricans,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Discoglossus,2.6
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Discoglossus.galganoi,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Discoglossus.jeanneae,2.5
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Discoglossus.montalentii,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Discoglossus.pictus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.ALYTIDAE.Discoglossus.sardus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BOMBINATORIDAE,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BOMBINATORIDAE.Bombina,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BOMBINATORIDAE.Bombina.bombina,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BOMBINATORIDAE.Bombina.pachypus,0.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BOMBINATORIDAE.Bombina.variegata,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Bufo,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Bufo.bufo,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Epidalea,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Epidalea.calamita,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Pseudepidalea,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Pseudepidalea.balearica,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Pseudepidalea.sicula,1.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.BUFONIDAE.Pseudepidalea.viridis,2.333
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE.Hyla,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE.Hyla.arborea,2.2
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE.Hyla.intermedia,2.25
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE.Hyla.meridionalis,2.3
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE.Hyla.sarda,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.HYLIDAE.Hyla.savignyi,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELOBATIDAE,2.667
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELOBATIDAE.Pelobates,2.667
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELOBATIDAE.Pelobates.cultripes,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELOBATIDAE.Pelobates.fuscus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELOBATIDAE.Pelobates.syriacus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELODYTIDAE,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELODYTIDAE.Pelodytes,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELODYTIDAE.Pelodytes.ibericus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.PELODYTIDAE.Pelodytes.punctatus,2.5
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE,2.095
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.bedriagae,2.5
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.bergeri,0.667
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.cerigensis,-1.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.cretensis,1.571
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.epeiroticus,1.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.esculentus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.grafi,2.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.hispanicus,2.9
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.kurtmuelleri,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.lessonae,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.perezi,2.6
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.ridibundus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Pelophylax.shqipericus,0.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana,2.25
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana.arvalis,3.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana.dalmatina,2.333
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana.graeca,1.667
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana.iberica,1.5
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana.italica,2.143
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana.latastei,1.0
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana.pyrenaica,1.5
ANIMALIA.CHORDATA.AMPHIBIA.ANURA.RANIDAE.Rana.temporaria,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA,2.059
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE,1.375
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Atylodes,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Atylodes.genei,2.667
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes,1.429
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes.ambrosii,2.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes.flavus,2.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes.imperialis,2.75
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes.italicus,2.2
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes.sarrabusensis,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes.strinatii,2.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PLETHODONTIDAE.Speleomantes.supramontis,0.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PROTEIDAE,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PROTEIDAE.Proteus,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.PROTEIDAE.Proteus.anguinus,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE,2.32
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Calotriton,0.5
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Calotriton.arnoldi,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Calotriton.asper,0.5
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Chioglossa,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Chioglossa.lusitanica,1.417
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Euproctus,1.5
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Euproctus.montanus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Euproctus.platycephalus,0.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lissotriton,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lissotriton.boscai,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lissotriton.helveticus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lissotriton.italicus,2.2
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lissotriton.montandoni,1.333
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lissotriton.vulgaris,2.864
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lyciasalamandra,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Lyciasalamandra.helverseni,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Mesotriton,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Mesotriton.alpestris,2.714
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Pleurodeles,2.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Pleurodeles.waltl,2.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandra,2.5
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandra.atra,2.5
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandra.corsica,1.667
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandra.lanzai,1.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandra.salamandra,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandrina,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandrina.perspicillata,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Salamandrina.terdigitata,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Triturus,2.667
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Triturus.carnifex,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Triturus.cristatus,2.667
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Triturus.dobrogicus,2.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Triturus.karelinii,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Triturus.marmoratus,3.0
ANIMALIA.CHORDATA.AMPHIBIA.CAUDATA.SALAMANDRIDAE.Triturus.pygmaeus,2.8
ANIMALIA.CHORDATA.REPTILIA,2.321
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA,3.0
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA.AMPHISBAENIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA.AMPHISBAENIDAE.Blanus,3.0
ANIMALIA.CHORDATA.REPTILIA.AMPHISBAENIA.AMPHISBAENIDAE.Blanus.cinereus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA,2.315
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE.Laudakia,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE.Laudakia.stellio,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE.Phrynocephalus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE.Phrynocephalus.guttatus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE.Phrynocephalus.helioscopus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.AGAMIDAE.Phrynocephalus.mystaceus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE,2.667
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE.Anguis,2.5
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE.Anguis.cephalonnica,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE.Anguis.fragilis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE.Pseudopus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.ANGUIDAE.Pseudopus.apodus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.BOIDAE,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.BOIDAE.Eryx,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.BOIDAE.Eryx.jaculus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.BOIDAE.Eryx.miliaris,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE,2.808
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Coronella,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Coronella.austriaca,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Coronella.girondica,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Dolichophis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Dolichophis.caspius,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Dolichophis.jugularis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Eirenis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Eirenis.modestus,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Elaphe,2.667
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Elaphe.dione,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Elaphe.quatuorlineata,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Elaphe.sauromates,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hemorrhois,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hemorrhois.hippocrepis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hemorrhois.nummifer,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hierophis,2.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hierophis.cypriensis,1.5
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hierophis.gemonensis,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Hierophis.viridiflavus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Macroprotodon,2.5
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Macroprotodon.brevis,2.667
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Macroprotodon.cucullatus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Malpolon,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Malpolon.insignitus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Malpolon.monspessulanus,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Natrix,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Natrix.maura,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Natrix.natrix,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Natrix.tessellata,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Platyceps,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Platyceps.collaris,2.4
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Platyceps.najadum,3.0
ANIMALIA.CHORDATA.REPTILIA.SQUAMATA.COLUBRIDAE.Rhinechis,3.0
